what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed command: monitor MemU32 0x7e00f120  =  0x00000008",1452725865355
error,log,,,"Failed command: monitor MemU32 0x7e001004  =  0x00000004",1452725865457
error,log,,,"Failed command: monitor MemU32 0x7e001010  =  0x0000040f",1452725865558
error,log,,,"Failed command: monitor MemU32 0x7e001014  =  0x00000006",1452725865660
error,log,,,"Failed command: monitor MemU32 0x7e001018  =  0x00000001",1452725865763
error,log,,,"Failed command: monitor MemU32 0x7e00101c  =  0x00000002",1452725865864
error,log,,,"Failed command: monitor MemU32 0x7e001020  =  0x00000006",1452725865965
error,log,,,"Failed command: monitor MemU32 0x7e001024  =  0x0000000a",1452725866066
error,log,,,"Failed command: monitor MemU32 0x7e001028  =  0x0000000c",1452725866168
error,log,,,"Failed command: monitor MemU32 0x7e00102c  =  0x0000018f",1452725866270
error,log,,,"Failed command: monitor MemU32 0x7e001030  =  0x0000000c",1452725866372
error,log,,,"Failed command: monitor MemU32 0x7e001034  =  0x00000002",1452725866474
error,log,,,"Failed command: monitor MemU32 0x7e001038  =  0x00000002",1452725866576
error,log,,,"Failed command: monitor MemU32 0x7e00103c  =  0x00000002",1452725866678
error,log,,,"Failed command: monitor MemU32 0x7e001040  =  0x00000002",1452725866780
error,log,,,"Failed command: monitor MemU32 0x7e001044  =  0x00000013",1452725866882
error,log,,,"Failed command: monitor MemU32 0x7e001048  =  0x00000013",1452725866989
error,log,,,"Failed command: monitor MemU32 0x7e00100C  =  0x00010012",1452725867091
error,log,,,"Failed command: monitor MemU32 0x7e00104C  =  0x00000b45",1452725867193
error,log,,,"Failed command: monitor MemU32 0x7e001200  =  0x000150f8",1452725867295
error,log,,,"Failed command: monitor MemU32 0x7e001304  =  0x00000000",1452725867396
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x000c0000",1452725867498
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00000000",1452725867599
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00040000",1452725867700
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00040000",1452725867802
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x000a0000",1452725867904
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00080032",1452725868006
error,log,,,"Failed command: monitor MemU32 0x7e001004  =  0x00000000",1452725868108
error,log,,,"Failed command: monitor speed 12000",1452725868412
error,log,,,"Failed command: load",1452725868615
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1452725880347
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1452725882608
error,log,,,"Failed command: target remote localhost:2331",1452725927475
error,log,,,"Failed command: monitor endian little",1452725927577
